PX,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,Latitude,Longitude,Count Date,8HrVehVol,8HrPedVol
1565,MIDLAND AVE,,COPTHORNE AVE,PASSMORE AVE,11-Oct-1988,43.82072,-79.29491,5/23/2015,13379,367
1570,FINCH AVE W,,KIPLING AVE,,11-Feb-1989,43.74329,-79.5821,5/15/2015,22468,5000
1572,MCCOWAN RD,,ALTON TOWERS CRCL,,26-Apr-1989,43.82252,-79.27397,5/4/2015,14230,726
1579,SPADINA AVE,,BREMNER BLVD,,28-May-1989,43.64054,-79.39294,7/8/2015,22600,8056
1594,BATHURST ST,,ULSTER ST,,12-Jul-1989,43.6598,-79.40904,4/2/2015,10369,1931
1611,STEELES AVE W,,IRONDALE DR,PEARCE RD,11-Jul-1990,43.76966,-79.5496,5/13/2015,17754,194
1621,BATHURST ST,,TICHESTER RD,,31-Jan-1991,43.68543,-79.41922,4/1/2015,17156,1127
1629,CASTLEFIELD AVE,,RONALD AVE,,07-Jul-1992,43.69894,-79.45942,7/27/2015,10128,172
1649,WARDEN AVE,200m SOUTH OF,BAMBURGH CRCL,,22-Oct-1992,43.81436768,-79.32453319,5/5/2015,9826,965
1657,WARDEN AVE,,SHERWOOD AVE,PRIVATE ACCESS,02-Nov-1993,43.74226,-79.29346,5/6/2015,16276,149
1659,KIPLING AVE,,ANNABELLE DR,ROWNTREE RD,15-Jun-1993,43.75096,-79.58574,5/15/2015,10272,1568
1664,DANFORTH AVE,,BYNG AVE,,04-Nov-1993,43.6930384,-79.280102,5/6/2015,11703,826
1672,STEELES AVE W,,SHALE GT,CAPSTAN GT,30-Dec-1993,43.78327,-79.4873,5/13/2015,25173,336
1682,WELLINGTON ST W,,BLUE JAYS WAY,,29-Sep-1994,43.6447334,-79.3917762,6/22/2015,6090,7101
1692,WARDEN AVE,,CANADIAN RD,PRIVATE ACCESS,10-Dec-1995,43.7585,-79.30002,5/5/2015,22133,313
1711,MCCOWAN RD,210m SOUTH OF,ALTON TOWERS CRCL,,29-Nov-1995,43.82508,-79.27514,5/4/2015,11373,850
1716,KING ST W,,TECUMSETH ST,,30-Aug-1995,43.64342,-79.40524,9/30/2015,9966,4831
1735,STEELES AVE W,,MURRAY ROSS PKWY,PRIVATE ACCESS,05-Mar-2000,43.77642,-79.51704,5/13/2015,22814,181
